Tourneys entered:,2.2 T68 torneo bakio 29-06-19,Number of EoS Lists:,2,Number of usages:,Number of armies taking this at least once
"",special item,The Light of Sonnstahl,,0,0
"",special item,Death Warrant,,0,0
"",special item,Hammer of Witches,,1,1
"",special item,Imperial Seal,,0,0
"",special item,Blacksteel,,1,1
"",special item,Witchfire Guard,,0,0
"",special item,Shield of Volund,,0,0
"",special item,Winter Cloak,,0,0
"",special item,Locket of Sunna,,0,0
"",special item,Exemplar's Flame,,0,0
"",special item,Karadon's Courser,,0,0
"",special item,Mantle of Ullor,,0,0
"",special item,Household Standard,,0,0
"",special item,Banner of Unity,,1,1
"",special item,Marksmanâ€™s Pennant,,1,1
"",Marshal,base cost,,3,2
"",Marshal,Battle Standard Bear,,1,1
"",Marshal,Shield,,3,2
"",Marshal,Paired Weapons,,0,0
"",Marshal,Great Weapon,,0,0
"",Marshal,Halberd,,0,0
"",Marshal,Lance,,0,0
"",Marshal,Pistol,,0,0
"",Marshal,Great Tactician,,0,0
"",Marshal,Imperial Prince,,0,0
"",Marshal,Horse,,0,0
"",Marshal,pegasus,,0,0
"",Marshal,Great Griffon,,0,0
"",Marshal,Dragon,,0,0
"",Knight Commander,base cost,,0,0
"",Knight Commander,Shield,,0,0
"",Knight Commander,Calvary Pick,,0,0
"",Knight Commander,Great Weapon,,0,0
"",Knight Commander,Halberd,,0,0
"",Knight Commander,Lance,,0,0
"",Knight Commander,Young Griffon,,0,0
"",Prelate,base cost,,2,2
"",Prelate,Plate Armour,,0,0
"",Prelate,Shield,,0,0
"",Prelate,Great Weapon,,0,0
"",Prelate,Paired Weapons,,1,1
"",Prelate,Horse,,0,0
"",Prelate,Altar of Battle,,0,0
"",Wizard,base cost,,2,2
"",Wizard,Adept,,0,0
"",Wizard,Master,,1,1
"",Wizard,Light Armour,,1,1
"",Wizard,Horse,,0,0
"",Wizard,Pegasus,,0,0
"",Wizard,Great Griffon,,0,0
"",Wizard,Arcane Engine,,0,0
"",Wizard,Foresight,,0,0
"",Wizard,Arcane Shield,,0,0
"",Artificer,base cost,,1,1
"",Artificer,Handgun,,0,0
"",Artificer,Repeater Pistol,,0,0
"",Artificer,Repeater Gun,,0,0
"",Artificer,Long Rifle,,1,1
"",Artificer,Horse,,0,0
"",Inquisitor,base cost,,1,1
"",Inquisitor,Shield,,1,1
"",Inquisitor,Paired Weapons,,0,0
"",Inquisitor,Great Weapon,,0,0
"",Inquisitor,Halberd,,0,0
"",Inquisitor,Crossbow,,0,0
"",Inquisitor,Bracer of Pistols,,0,0
"",Inquisitor,Repeater Pistol,,0,0
"",Inquisitor,Blessed Steel,,1,1
"",Inquisitor,Silver Shots,,0,0
"",Heavy Infantry,small unit (20-30),,1,1
"",Heavy Infantry,large unit (30-50),,2,2
"",Heavy Infantry,Spear,,1,1
"",Heavy Infantry,Halberd,,0,0
"",Light Infantry,small unit (10-13),,3,1
"",Light Infantry,large unit (13-20),,2,1
"",Light Infantry,Handgun,,3,1
"",Light Infantry,Repeater Gun,,0,0
"",Light Infantry,Long Rifle,,2,1
"",Electoral Cavalry,small unit (5-8),,0,0
"",Electoral Cavalry,large unit (8-15),,0,0
"",Electoral Cavalry,Shield,,0,0
"",Electoral Cavalry,Lance,,0,0
"",Electoral Cavalry,Great Weapon,,0,0
"",Electoral Cavalry,Calvary Pick,,0,0
"",Electoral Cavalry,Knight Orders,,0,0
"",State Militia,small unit (10-15),,2,1
"",State Militia,large unit (15-25),,0,0
"",State Militia,Irregulars,,2,1
"",Imperial Guard,small unit (15-23),,0,0
"",Imperial Guard,large unit (23-40),,1,1
"",Imperial Guard,Replace Shield with Great Weapon,,0,0
"",Knights of the Sun Griffon,small unit (3-4),,2,1
"",Knights of the Sun Griffon,large unit (4-6),,0,0
"",Knights of the Sun Griffon,Replace Halberd with Lance,,1,1
"",Imperial Rangers,small unit (5-7),,0,0
"",Imperial Rangers,large unit (7-10),,0,0
"",Reiters,small unit (5-7),,4,2
"",Reiters,large unit (7-10),,0,0
"",Reiters,Bracer of Pistols,,4,2
"",Reiters,Repeater Gun,,0,0
"",Reiters,Repeater Pistol,,0,0
"",Artillery,base cost,,3,2
"",Artillery,Mortar,,2,2
"",Artillery,Volley Gun,,0,0
"",Artillery,Imperial Rocketeer,,0,0
"",Artillery,Cannon,,1,1
"",Flagellants,small unit (15-20),,0,0
"",Flagellants,large unit (20-30),,0,0
"",Steam Tank,base cost,,2,2
